P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,P_TYPE_TEMP,S_NAME,S_TYPE_TEMP,S_RA,S_DEC,S_MAG,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_SNOW_LINE,S_ABIO_ZONE,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
HIP 57274 d,167.4,14.2,431.7,0.83019242,0.058464255,1.0468145,1.576863,281.46257,,Jovian,Warm,HIP 57274,K,176.17055,30.957648,8.97,4640,0.73,0.68,0.09,1.5488166,0.99010825,2.430623,1.2541248,2.3044445,3.3601895,0.25856853,1,0,0,0.36585904
Kepler-1241 b,7.41,2.63,18.55257,1.0712892,0.40733428,0.1336,26.569726,578.35764,,Neptunian,Hot,Kepler-1241,K,294.5762,38.456959,15.886,5261,0.84,0.8,-0.09,0.47424199,0.53232139,1.2744355,0.67425994,1.20828,1.8593612,0.78746947,0,0,0,0.27136807
Kepler-144 b,2.33,1.33,5.885273,1.3172028,0.99037803,0.066,439.45269,1166.3469,1317.2056,Terran,Hot,Kepler-144,F,281.91561,42.775554,12.195,6075,1.15,1.24,-0.185,1.9142559,1.0197429,2.3853924,1.2916201,2.2615691,3.7356292,3.5403532,0,0,0,0.28901536
Kepler-1082 b,1.46,1.12,1.5432066,1.1639031,1.0391992,0.0257,3119.8503,1903.8518,2150.1015,Terran,Hot,Kepler-1082,G,289.35867,50.598449,13.444,5923,1.03,1.14,-0.06,2.0606299,1.0678696,2.506646,1.3525838,2.3765285,3.8758215,2.6283496,0,0,0,0.29221378
Kepler-1036 b,9.32,3.01,122.88081,1.0286862,0.34175622,0.4629,2.9310663,333.31597,,Neptunian,Hot,Kepler-1036,G,295.18171,49.945817,13.87,5533,0.95,0.89,0.04,0.62805836,0.60340451,1.4316337,0.76429162,1.3573187,2.1397536,1.3091596,0,0,0,0.50373521
Kepler-1110 b,7.56,2.66,9.6931203,1.0684606,0.40167693,0.0754,40.574886,642.93051,,Neptunian,Hot,Kepler-1110,K,291.80806,38.622661,16.274,4781,0.73,0.7,-0.16,0.23067472,0.37992651,0.92693294,0.4812347,0.87881471,1.2967724,0.32944149,0,0,0,0.25440911
Kepler-1305 b,4.19,1.88,13.563097,1.1854912,0.63058041,0.1109,98.659045,802.84912,906.69193,Superterran,Hot,Kepler-1305,G,297.33946,46.347217,15.834,5701,0.97,0.96,0.01,1.2133889,0.83048399,1.9607025,1.0519131,1.8589241,2.9741561,1.759367,0,0,0,0.27417976
Kepler-1531 b,1.41,1.11,1.1385434,1.1443876,1.0309798,0.022,4160.5873,2045.9187,2310.5437,Terran,Hot,Kepler-1531,F,285.14662,39.370806,13.202,6260,1.16,1.27,-0.03,2.0137242,1.0342044,2.4102673,1.3099306,2.2851531,3.8314553,4.879011,0,0,0,0.29227235
Kepler-1493 b,2.57,1.41,15.021798,1.2926915,0.91680249,0.1197,123.82596,849.77243,959.68442,Terran,Hot,Kepler-1493,G,288.54937,38.565197,13.7192,5863,1.06,1.29,0.06,1.7741895,0.9944923,2.3378527,1.2596448,2.216497,3.596365,2.393714,0,0,0,0.29390001
Kepler-1524 b,12.3,3.54,70.96746,0.98151872,0.27726518,0.3392,8.5721214,435.88486,,Neptunian,Hot,Kepler-1524,F,293.88536,39.519835,12.802,6179,1.17,1.25,0.04,0.98627949,0.72734104,1.6977454,0.92125734,1.6096173,2.6814133,4.2573453,0,0,0,0.31487813
Kepler-1333 b,8.3,2.81,109.64718,1.0511518,0.37407539,0.4382,3.3779658,345.35323,,Neptunian,Hot,Kepler-1333,G,293.52758,41.111394,15.421,5628,0.94,0.92,-0.04,0.64863443,0.60982671,1.4427523,0.77242426,1.3678602,2.1745218,1.5358255,0,0,0,0.48974637
Kepler-137 c,4.19,1.88,18.735753,1.1854912,0.63058041,0.13,30.207396,597.21132,674.45635,Superterran,Hot,Kepler-137,K,282.13559,43.039195,13.063,5187,0.91,0.8,-0.02,0.510505,0.55445031,1.3309689,0.7022905,1.2618785,1.9291401,0.71221049,0,0,0,0.30383313
Kepler-1372 b,2.15,1.27,1.3115556,1.3330027,1.0496084,0.024,1784.7505,1655.7474,1869.9065,Terran,Hot,Kepler-1372,G,288.88659,44.839467,15.667,5677,0.98,0.97,0.05,1.0280163,0.76550896,1.8085219,0.96961465,1.714643,2.7375607,1.6940819,0,0,0,0.28869534
Kepler-434 b,908.96,12.67,12.87471,5.6622826,0.44690471,0.11528075,165.06931,910.14093,,Jovian,Hot,Kepler-434,G,293.58639,42.928862,14.49,5977,1.2,1.38,0.25,2.1379621,1.0841489,2.5416139,1.3732014,2.4096812,3.9478784,3.0345072,0,0,0,0.07673068
Kepler-631 b,8.75,2.9,17.979791,1.0404281,0.3587683,0.1447,116.96689,837.75194,,Neptunian,Hot,Kepler-631,F,296.88572,40.228172,13.563,6185,1.24,1.33,0.23,2.4490632,1.1457232,2.6740073,1.4511841,2.5352025,4.2253605,4.3855849,0,0,0,0.22420253
Kepler-569 b,10.1,3.16,34.188905,1.0114565,0.32008117,0.1981,19.917327,538.15511,,Neptunian,Hot,Kepler-569,G,283.50722,48.552633,14.244,5616,0.95,0.93,0.01,0.7816278,0.66990374,1.5854419,0.84851984,1.5031429,2.3870624,1.5098033,0,0,0,0.26260131
K2-16 b,4.74,2.02,7.6188,1.1616508,0.57507466,0.0667,38.971609,636.48298,718.80751,Superterran,Hot,K2-16,K,175.09722,4.5574311,14.668,4742,0.68,0.66,-0.33,0.1733804,0.32992023,0.80628659,0.41789436,0.7644311,1.1242522,0.30089043,0,0,0,0.2870812
Kepler-1006 b,2.99,1.54,19.76172,1.2607522,0.81867028,0.1464,18.574531,528.84594,597.24838,Terran,Hot,Kepler-1006,G,295.75421,42.537306,14.467,5328,0.78,0.74,-0.4,0.39810717,0.48596632,1.1607352,0.61554377,1.100482,1.7035848,0.86197645,0,0,0,0.34758513
K2-246 b,12,3.49,5.76918,0.98521359,0.28229616,0.0602,194.89784,951.81263,,Neptunian,Hot,K2-246,G,181.62961,-1.1606,14.792,5610,0.87,0.94,-0.19,0.70631755,0.63703768,1.5079251,0.80689085,1.4296499,2.2691529,1.4511386,0,0,0,0.19774427
K2-8 c,6.39,2.41,5.06416,1.1001877,0.45650941,0.0532,92.294694,789.57592,891.70193,Superterran,Hot,K2-8,K,169.79352,-0.2844389,14.801,4870,0.78,0.74,-0.02,0.26121614,0.40273354,0.97888261,0.51012261,0.92806802,1.3799513,0.39244009,0,0,0,0.2488148
Kepler-177 b,5.84,3.5,36.8601,0.47673469,0.13620991,0.2184,36.432983,625.85452,,Neptunian,Hot,Kepler-177,G,286.04714,45.053204,15.171,5732,0.92,1.32,-0.11,1.7378008,0.99203816,2.3401124,1.2565409,2.2186393,3.5592932,1.8231601,0,0,0,0.22390756
Kepler-169 d,2.1,1.25,8.348125,1.344,1.0752,0.075,56.738451,699.14793,789.57773,Terran,Hot,Kepler-169,K,285.99992,40.919382,14.424,4997,0.84,0.76,0.05,0.31915379,0.44255919,1.0701294,0.56056656,1.0145786,1.5253298,0.50033235,0,0,0,0.31288008
Kepler-1636 b,10.5,3.23,425.47785,1.0064316,0.31158872,1.1546,1.2946038,271.72771,,Neptunian,Warm,Kepler-1636,G,294.05757,46.440984,15.807,5797,1.01,1.02,0.03,1.7258379,0.98476841,2.31892,1.2473306,2.198547,3.547021,2.1029728,1,0,0,0.61632708
Kepler-1404 b,4.7,2.01,15.931474,1.1633375,0.5787749,0.1143,32.651831,608.94293,687.70535,Superterran,Hot,Kepler-1404,K,296.00948,50.498393,15.931,5261,0.84,0.8,-0.09,0.42657952,0.50486343,1.2086981,0.63948058,1.145955,1.7634525,0.78746947,0,0,0,0.29386246
Kepler-1503 b,5.77,2.27,96.16987,1.1197578,0.49328538,0.3771,5.0476233,381.83123,431.21837,Superterran,Hot,Kepler-1503,K,293.72716,42.806712,15.892,5069,0.77,0.74,-0.19,0.71779429,0.66138568,1.594751,0.83774148,1.5119673,2.287514,0.55002558,0,0,0,0.45283019
Kepler-505 b,7.27,2.6,27.52198,1.0754438,0.41363223,0.1445,3.9926782,360.09392,,Neptunian,Hot,Kepler-505,K,287.85795,42.542676,15.607,3931,0.55,0.53,-0.19,0.083368118,0.23453084,0.59566162,0.29706949,0.56473514,0.77958552,0.069597125,0,0,0,0.47235084
Kepler-154 b,5.73,2.26,33.040532,1.1218576,0.49639718,0.198,27.521343,583.4681,658.93553,Superterran,Hot,Kepler-154,G,289.78054,49.896562,14.646,5690,0.98,1,-0.04,1.0789467,0.7836376,1.8506721,0.99257655,1.7546053,2.8045537,1.7323432,0,0,0,0.28794103
Kepler-169 f,7.18,2.58,87.090195,1.0786611,0.41808571,0.359,2.4763447,319.56005,,Neptunian,Hot,Kepler-169,K,285.99992,40.919382,14.424,4997,0.84,0.76,0.05,0.31915379,0.44255919,1.0701294,0.56056656,1.0145786,1.5253298,0.50033235,0,0,0,0.56690799
Kepler-655 b,7.8,2.71,46.406336,1.062077,0.39191035,0.2559,32.200264,606.82654,,Neptunian,Hot,Kepler-655,F,297.25907,46.843165,13.568,6170,1.15,1.24,0,2.1086281,1.0640836,2.4842089,1.3477792,2.3552563,3.9207014,4.1680009,0,0,0,0.25986762
Kepler-539 b,308.2951,8.373,125.63243,4.3974857,0.52519834,0.53673374,3.8016733,345.0077,,Jovian,Hot,Kepler-539,G,299.12246,41.866795,12.444,5820,1.05,0.95,-0.01,0.87096359,0.69860476,1.6440804,0.8848685,1.5587377,2.5197866,2.2162411,0,0,0,0.30746119
Kepler-405 b,4.98,2.08,10.613839,1.1510725,0.55340023,0.095,51.707411,683.1057,771.46054,Superterran,Hot,Kepler-405,G,291.40946,38.340011,16.181,5818,0.91,0.89,-0.03,0.46665938,0.5114274,1.2036438,0.64778549,1.1411637,1.8444367,2.1057596,0,0,0,0.27594747
NN Ser c,2329.6,12.6,5573.55,14.673721,1.1645811,5.36712,,,,Jovian,,NN Ser,WD,238.2337,12.912087,16.943,57000,0.54,,,,,,,,,2.73E+38,0,0,0,
WASP-182 b,47.03884,9.528,3.3769848,0.51814714,0.054381522,0.0451,702.50095,1311.4793,,Neptunian,Hot,WASP-182,G,311.67334,-41.820983,11.98,5638,1.08,1.34,0.27,1.428894,0.90458829,2.1394885,1.1457776,2.0284294,3.2274815,1.636446,0,0,0,0.091575149
Kepler-1285 b,0.871,0.97,14.796746,0.92570943,0.95433962,0.1268,188.26149,943.60467,1065.6532,Terran,Hot,Kepler-1285,F,281.83534,44.155882,11.717,6170,1.2,1.28,0.16,3.0269134,1.274899,2.9763782,1.6148,2.8218776,4.6974673,4.2275518,0,0,0,0.30028264
Kepler-1263 b,1.55,1.14,4.5513997,1.1926747,1.0462059,0.0499,154.80996,898.56487,1014.7878,Terran,Hot,Kepler-1263,K,286.48363,46.752618,15.173,5213,0.84,0.8,-0.03,0.38547836,0.48114349,1.1538977,0.6094366,1.0939992,1.6763464,0.72513699,0,0,0,0.30043861
Kepler-190 c,2.73,1.46,3.763024,1.2807281,0.87721102,0.045,178.88543,931.62997,1052.1297,Terran,Hot,Kepler-190,K,288.58398,44.73377,14.336,5106,0.86,0.8,0.02,0.362243,0.46898168,1.1292169,0.5940333,1.0705993,1.6250389,0.60812356,0,0,0,0.28836345
HD 34445 g,120.6,13.6,5700,0.65203287,0.047943594,6.3632563,0.04969449,120.25229,,Jovian,Cold,HD 34445,G,79.420748,7.3527156,7.31,5836,1.07,1.38,0.14,2.0090928,1.0600139,2.4935863,1.3426368,2.3641466,3.8270467,2.2923788,0,0,0,0.11558207
HD 179949 b,291.12,13.9,3.092514,1.5067543,0.10839959,0.044310721,1019.2898,1439.2449,,Jovian,Hot,HD 179949,F,288.88902,-24.179794,6.25,6168,1.21,1.27,0.137,1.9998619,1.0364029,2.4196822,1.3127185,2.2940791,3.8182448,4.2247214,0,0,0,0.065750526
Kepler-209 b,5.73,2.26,16.087845,1.1218576,0.49639718,0.122,49.920662,677.12647,764.70795,Superterran,Hot,Kepler-209,G,291.16946,42.640728,14.132,5513,0.93,0.94,0.11,0.74301914,0.6570645,1.5599142,0.83225953,1.4789402,2.3273611,1.2560011,0,0,0,0.2677522
Kepler-219 d,19.1,2.81,47.903645,2.4189157,0.86082408,0.272,22.123926,552.47834,,Neptunian,Hot,Kepler-219,G,288.73895,46.762593,13.823,5786,1.17,1.49,0.361,1.6368165,0.95966966,2.2604726,1.2155403,2.1431335,3.4543295,2.1672775,0,0,0,0.27192483
Kepler-235 c,2.18,1.28,7.824904,1.3305664,1.039505,0.065,18.714287,529.83791,598.36867,Terran,Hot,Kepler-235,M,286.07908,39.278237,16.567,4255,0.58,0.55,-0.51,0.079067863,0.22661457,0.56642782,0.28704285,0.53702156,0.75921322,0.12360099,0,0,0,0.358722
Kepler-257 c,25.2,5.41,6.581484,0.86100567,0.15915077,0.066,96.141773,797.67823,,Neptunian,Hot,Kepler-257,K,297.316,46.023264,15.652,5180,0.85,1.04,0.04,0.41879357,0.50236565,1.2062494,0.63631793,1.1436332,1.7472851,0.68787794,0,0,0,0.15366268
Kepler-272 c,97.8,1.79,6.057342,30.523392,17.052174,0.061,312.853,1071.3584,1209.931,Superterran,Hot,Kepler-272,K,299.12753,47.593832,14.811,5297,0.86,0.93,0.09,1.164126,0.83240744,1.9903496,1.0543603,1.8870314,2.9131562,0.84430694,0,0,0,0.26942762
CoRoT-12 b,291.438,16.14,2.828042,1.1187656,0.069316334,0.040258392,730.26289,1323.03,,Jovian,Hot,CoRoT-12,G,100.76569,-1.2964437,15.588,5675,1.08,1.12,0.16,1.1748976,0.81846809,1.9337479,1.0366942,1.8333687,2.9266027,1.7438457,0,0,0,0.057985974
GJ 2030 c,4069.1571,12.3,25533.114,26.896405,2.1866996,16.775088,0.014580267,88.492018,,Jovian,Cold,GJ 2030,G,50.82376,-7.7950429,6.20902,5485,0.96,2.24,-0.4,4.0926066,1.5445546,3.6701021,1.9563851,3.4795896,5.4621518,1.2097477,0,0,0,0.087529697
GJ 676 A d,3.81394,1.78,3.60076,1.2037432,0.67626023,0.039718848,60.677402,706.00346,797.31997,Superterran,Hot,GJ 676 A,M,262.54489,-51.637778,9.58,4006.03,0.63,0.65,0.23,0.09057326,0.24406712,0.61756777,0.30914889,0.58550463,0.81257558,0.082838422,0,0,0,0.28763755
TOI-954 b,55.30242,9.55,3.6849729,0.60636956,0.063494195,0.050116374,1405.4319,1553.9705,,Jovian,Hot,TOI-954,G,61.941059,-25.208803,10.343,5710,1.2,1.89,0.215,3.4276779,1.3950782,3.2928368,1.7670427,3.1219085,4.998777,1.9181152,0,0,0,0.090618599
TOI-559 b,1910.1487,12.229,6.9839095,12.772776,1.0444661,0.073124256,326.38628,1078.0971,,Jovian,Hot,TOI-559,G,46.818616,-31.162995,11.091,5925,1.03,1.23,-0.069,1.686553,0.96597378,2.2673535,1.2235206,2.1496573,3.5064186,2.6373961,0,0,0,0.075795054
HD 4917 b,513.29545,13.5,400.5,2.8164359,0.20862488,1.1695417,21.028401,545.062,,Jovian,Hot,HD 4917,K,12.776262,-12.927665,8.03,4802,1.32,5.01,0.18,28.575905,4.2248434,10.298382,5.3514051,9.7637816,14.433238,0.41609944,0,0,0,0.1140479
HD 12661 c,575.884,13.4,1708,3.2071954,0.23934294,2.8158524,0.14601796,157.44287,,Jovian,Cold,HD 12661,K,31.142353,25.413563,7.43,5748,1.02,1.11,0.36,1.1561122,0.80837452,1.9060389,1.0239074,1.8070981,2.9031118,1.9395462,0,0,0,0.19476847
Kepler-1187 b,7.32,2.61,18.870641,1.0745585,0.41170824,0.1401,69.682501,736.00479,,Neptunian,Hot,Kepler-1187,G,286.892,38.318503,14.73,5975,1.06,1.09,-0.01,1.3677288,0.86724523,2.0332122,1.0984676,1.9276701,3.1576484,2.9015995,0,0,0,0.24398721
Kepler-1251 b,4.04,1.84,45.090464,1.1932892,0.64852675,0.2478,11.449787,468.59652,529.20613,Superterran,Hot,Kepler-1251,G,292.11511,49.256379,15.024,5545,0.92,0.89,-0.04,0.70307232,0.63798105,1.5131117,0.80808714,1.4345672,2.263934,1.3222109,0,0,0,0.37071513
Kepler-1501 b,3.05,1.56,14.556453,1.2532873,0.8033893,0.1228,105.58525,816.58336,922.20259,Terran,Hot,Kepler-1501,F,289.91859,42.001428,13.683,6229,1.2,1.3,0.04,1.5922087,0.92134114,2.148486,1.1669782,2.0369605,3.4069343,4.6785352,0,0,0,0.28912906
Kepler-1548 b,7.46,2.64,124.82868,1.0703627,0.40544042,0.4679,2.252651,312.08521,,Neptunian,Hot,Kepler-1548,G,287.47118,46.080571,15.324,5706,0.99,0.97,0.05,0.4931738,0.52930015,1.2494588,0.67042556,1.1846005,1.896111,1.7866584,0,0,0,0.58088793
Kepler-1626 b,4.74,2.02,4.1396297,1.1616508,0.57507466,0.0537,1415.9614,1562.6531,1764.7711,Superterran,Hot,Kepler-1626,F,296.50044,40.721207,14.357,6826,1.51,1.85,0.04,4.0831939,1.4259287,3.2962514,1.8060654,3.1251491,5.4558669,14.086645,0,0,0,0.25459643
Kepler-1559 b,0.299,0.72,0.97191543,0.57677469,0.80107596,0.018,1634.7637,1619.8077,1829.3183,Subterran,Hot,Kepler-1559,G,292.28666,42.072595,14.549,5316,0.86,0.82,-0.04,0.52966344,0.56090531,1.3402822,0.7104646,1.2707087,1.9650055,0.87232155,0,0,0,0.28443836
Kepler-554 b,17,4.29,1.9022086,0.92370722,0.21531637,0.0293,887.69701,1390.4837,,Neptunian,Hot,Kepler-554,G,296.4069,51.358194,14.49,5447,0.93,0.92,0.14,0.76207901,0.66794246,1.5890665,0.84603934,1.5065791,2.3570227,1.121363,0,0,0,0.16864608
Kepler-518 b,5.1,2.11,8.5120359,1.1455268,0.54290371,0.081,139.00485,874.69612,987.83182,Superterran,Hot,Kepler-518,G,287.09002,41.373758,12.573,5842,0.96,0.88,-0.23,0.91201084,0.71392713,1.6791916,0.90427561,1.5920263,2.57848,2.2338752,0,0,0,0.25871038
Kepler-1904 b,2.51,1.39,4.5770202,1.2991046,0.93460763,0.0436,26.486649,577.90502,652.65291,Terran,Hot,Kepler-1904,M,288.8744,51.154221,16.367,3805,0.53,0.5,-0.1,0.050350061,0.18269915,0.46695335,0.23141628,0.44270836,0.60584812,0.055362815,0,0,0,0.3342685
Kepler-292 e,7.61,2.67,11.97901,1.0674859,0.39980744,0.097,48.91663,673.6958,,Neptunian,Hot,Kepler-292,K,295.7662,42.424282,16.303,5299,0.85,0.83,-0.07,0.46025657,0.52334623,1.2512733,0.66289106,1.1863203,1.8317397,0.84391638,0,0,0,0.24882296
Kepler-286 d,2.33,1.33,5.914323,1.3172028,0.99037803,0.061,205.75023,964.79444,1089.5837,Terran,Hot,Kepler-286,G,290.67619,48.294236,15.863,5580,0.96,0.86,-0.12,0.76559661,0.66439448,1.5740856,0.84154246,1.492376,2.3624562,1.4242165,0,0,0,0.29260837
Kepler-289 b,7.3,2.15,34.545,1.579232,0.73452652,0.21,26.095247,575.75811,650.22831,Superterran,Hot,Kepler-289,G,297.46534,42.882852,14.142,5990,1.08,1,0.05,1.1508004,0.79477545,1.8626655,1.0066757,1.7659763,2.8964348,2.9959545,0,0,0,0.29604546
Kepler-299 d,4.12,1.86,15.054786,1.1908891,0.64026297,0.118,64.898698,723.03398,816.55326,Superterran,Hot,Kepler-299,G,283.20702,48.580522,15.232,5617,0.95,1.03,-0.01,0.90364947,0.72025607,1.7045593,0.91229758,1.616077,2.5666329,1.5123994,0,0,0,0.28214141
Kepler-321 b,3.78,1.77,4.915379,1.2065498,0.68166658,0.057,302.16927,1062.0924,1199.4664,Superterran,Hot,Kepler-321,G,294.4537,44.145763,12.918,5740,1.03,1.19,0.121,0.98174794,0.74528196,1.7576569,0.94399297,1.6664185,2.6752463,1.919303,0,0,0,0.27057506
Kepler-372 d,3.5,1.69,30.092568,1.2254473,0.72511674,0.201,51.833184,683.52071,771.92924,Superterran,Hot,Kepler-372,F,291.25623,49.258929,14.928,6509,1.15,1.14,0.16,2.0941125,1.0391909,2.4118628,1.3162378,2.2866662,3.9071831,7.4621125,0,0,0,0.29589842
HD 28678 b,490.09386,13.5,380.2,2.6891295,0.19919478,1.1930986,16.638386,512.33321,,Jovian,Hot,HD 28678,G,67.856064,4.5752495,8.38,4972,1.53,6.48,-0.11,22.908677,3.7539272,9.0862555,4.7549053,8.6145842,12.923012,0.58534199,0,0,0,0.12557396
Kepler-224 e,4.54,1.97,18.643577,1.1698317,0.59382322,0.124,19.913914,538.13206,607.7356,Superterran,Hot,Kepler-224,K,290.93427,47.357541,15.801,5018,0.82,0.68,-0.27,0.30619634,0.43304629,1.0462556,0.54851686,0.9919442,1.4940453,0.51456303,0,0,0,0.32009119
Kepler-399 c,2.63,1.43,26.67569,1.2861265,0.89938913,0.155,15.897784,508.66735,574.45984,Terran,Hot,Kepler-399,G,299.50172,40.670767,14.686,5502,0.9,0.68,0.14,0.38194427,0.47139145,1.1194994,0.59708011,1.0613869,1.6686443,1.2190903,0,0,0,0.36415241
Kepler-306 b,2.92,1.52,4.646186,1.2638504,0.83148054,0.05,135.85011,869.69046,982.17872,Terran,Hot,Kepler-306,K,288.53871,40.616054,15.575,4954,0.81,0.72,-0.08,0.33962527,0.45745915,1.1080684,0.57944002,1.0505481,1.5734892,0.45910366,0,0,0,0.2881136
Kepler-1391 b,3.46,1.68,54.409233,1.225907,0.72970657,0.2768,35.864752,623.39981,704.03213,Superterran,Hot,Kepler-1391,G,294.83097,46.659577,13.906,5840,1.03,1.1,0.04,2.7478942,1.2393856,2.9152442,1.5698328,2.7639166,4.4757288,2.2790578,0,0,0,0.30760627
Kepler-1529 b,5.06,2.1,5.3390569,1.1473923,0.54637728,0.0525,109.56741,824.17618,930.77748,Superterran,Hot,Kepler-1529,K,289.87075,41.040748,15.297,5048,0.81,0.77,-0.03,0.30199517,0.42943989,1.0363219,0.54394851,0.98252622,1.4837604,0.53956757,0,0,0,0.26173831
Kepler-1542 d,0.59,0.87,5.9927374,0.77949531,0.89597162,0.0632,294.14796,1054.9726,1191.4257,Terran,Hot,Kepler-1542,G,285.72848,42.654465,12.734,5564,0.94,0.99,0.06,1.1748976,0.82381544,1.9527282,1.0434704,1.8513635,2.9266027,1.3759109,0,0,0,0.29596655
Kepler-155 c,5.65,2.24,52.661793,1.1260364,0.5026948,0.242,1.0528567,258.04297,291.41898,Superterran,Warm,Kepler-155,M,288.49578,51.081929,14.654,4508,0.64,0.62,-0.142,0.0616595,0.1985179,0.49028004,0.25145383,0.46482816,0.67044594,0.19726065,1,0,2,0.72876715
Kepler-520 c,1.24,1.07,5.2110426,1.083064,1.0122094,0.0594,917.122,1401.8659,1583.1873,Terran,Hot,Kepler-520,F,293.18029,41.617741,12.798,6112,1.1,1.09,-0.03,3.2359366,1.3228486,3.0919894,1.6755362,2.9314875,4.8569515,3.7172169,0,0,0,0.29402849
TOI-969 c,3591.461,12.4,1700,23.357577,1.8836755,3.0169238,0.040373858,104.30786,,Jovian,Cold,TOI-969,K,115.13669,2.0985879,11.646,4435,0.73,0.67,0.175,0.19952623,0.3579999,0.88716737,0.4534628,0.84111137,1.2060457,0.18181155,0,0,0,0.11271063
WASP-59 b,274.276,8.687,7.919585,3.6345292,0.41838715,0.0700485,33.244273,610.53584,,Jovian,Hot,WASP-59,K,349.62295,24.889277,12.659,4650,0.72,0.61,-0.15,0.16069413,0.31879687,0.78226675,0.40380537,0.74165775,1.0823401,0.26184245,0,0,0,0.1292804
Kepler-922 b,2.6,1.42,0.93846683,1.2894267,0.90804697,0.0182,2222.5791,1749.0975,1975.3308,Terran,Hot,Kepler-922,G,284.73161,49.533149,13.863,5671,0.95,0.93,-0.05,0.7362071,0.64804425,1.5312711,0.82083076,1.4517841,2.3166678,1.6594221,0,0,0,0.28294953
Kepler-413 b,67,4.347,66.262,3.5456472,0.81565383,0.35777779,2.963873,333.36662,,Neptunian,Hot,Kepler-413,K,288.51067,51.162424,15.885,4700,0.82,0.78,-0.2,0.37153523,0.48378643,1.1844916,0.61278973,1.1230027,1.6457496,0.29797036,0,0,0,0.43551451
Kepler-47 d,19.02,7.04,187.366,0.38376485,0.054512053,0.69940137,1.4686634,280.40346,,Neptunian,Warm,Kepler-47,G,295.29789,46.92043,15.31,5636,0.96,0.94,-0.043,0.71779429,0.64121267,1.5166532,0.81217846,1.437925,2.287514,1.5680453,1,0,0,0.4520911
Kepler-719 b,54.5,8.52,5.0073178,0.75078798,0.088120655,0.0556,907.50791,1398.1775,,Jovian,Hot,Kepler-719,G,295.53606,43.884412,16.128,5777,0.99,0.98,-0.02,2.8054336,1.2570624,2.9616788,1.5922255,2.8079408,4.5223458,2.0184402,0,0,0,0.10011967
Kepler-843 b,7.22,2.59,2.0538798,1.0763107,0.41556399,0.0313,916.03343,1401.4498,,Neptunian,Hot,Kepler-843,G,296.32198,48.971437,15.354,5830,1.02,1.03,0.05,0.89742879,0.70871091,1.6674344,0.89766893,1.5808794,2.5577834,2.2329644,0,0,0,0.22805424
Kepler-551 b,7.9,2.73,12.376466,1.0599901,0.38827475,0.0893,15.969712,509.24172,,Neptunian,Hot,Kepler-551,K,285.48505,48.054377,15.278,4286,0.65,0.63,-0.09,0.12735031,0.28734287,0.71714347,0.36396476,0.679913,0.96352672,0.13540875,0,0,0,0.29526846
KMT-2016-BLG-1836L b,700,13.3,,3.9572616,0.29753846,3.5,,,,Jovian,,KMT-2016-BLG-1836L,,268.25033,-30.04075,,,0.49,,,,,,,,,,0,0,0,
OGLE-2014-BLG-1722L b,55.3,8.59,,0.74944334,0.087246023,1.5,,,,Jovian,,OGLE-2014-BLG-1722L,,268.75238,-31.469055,,,0.4,,,,,,,,,,0,0,0,
Kepler-627 b,13.4,3.73,40.699444,0.96313493,0.25821312,0.2327,44.813332,659.10031,,Neptunian,Hot,Kepler-627,F,292.10422,39.767859,14.181,6424,1.3,1.49,0.05,2.4266101,1.1242228,2.6126373,1.4239423,2.4770186,4.2059467,6.7172308,0,0,0,0.21015296
51 Peg b,146.2018,14.3,4.230785,0.71495819,0.049997076,0.052704453,492.51047,1200.0237,,Jovian,Hot,51 Peg,G,344.36754,20.769096,5.45309,5758,1.03,1.18,0.18,1.3677288,0.87872365,2.0713533,1.113013,1.9638312,3.1576484,1.9795828,0,0,0,0.06523781
Kepler-186 c,2.1,1.25,7.267302,1.344,1.0752,0.0451,20.260349,540.45736,610.36167,Terran,Hot,Kepler-186,M,298.65274,43.954988,15.138,3788,0.48,0.47,-0.28,0.041209752,0.16533517,0.42293325,0.20942209,0.40097373,0.548105,0.052022268,0,0,0,0.35461194
Kepler-186 d,2.54,1.4,13.342996,1.2959184,0.92565598,0.0781,6.756129,410.69952,463.82057,Terran,Hot,Kepler-186,M,298.65274,43.954988,15.138,3788,0.48,0.47,-0.28,0.041209752,0.16533517,0.42293325,0.20942209,0.40097373,0.548105,0.052022268,0,0,0,0.46215771
Kepler-169 c,1.92,1.21,6.195469,1.3113858,1.0837899,0.062,83.026479,768.9602,868.41972,Terran,Hot,Kepler-169,K,285.99992,40.919382,14.424,4997,0.84,0.76,0.05,0.31915379,0.44255919,1.0701294,0.56056656,1.0145786,1.5253298,0.50033235,0,0,0,0.30646133
Kepler-171 d,4.23,1.89,39.595519,1.1841774,0.62654888,0.223,16.764487,515.46274,582.13417,Superterran,Hot,Kepler-171,G,296.77191,41.755596,15.101,5642,0.91,0.84,0.11,0.83368118,0.69079413,1.6336435,0.87497963,1.5488425,2.4652659,1.5562954,0,0,0,0.33579173
